Name,Link,Image URL,Description,Type,Height (m),Weight (kg),Species,HP,Attack,Defense,Special Attack,Special Defense,Speed
Bulbasaur,https://pokemondb.net/pokedex/bulbasaur,https://img.pokemondb.net/artwork/bulbasaur.jpg,"A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON. It can go for days without eating a single morsel. In the bulb on its back, it stores energy.","Grass, Poison",0.7000000000000001,6.9,Seed Pokémon,45,49,49,65,65,45
Ivysaur,https://pokemondb.net/pokedex/ivysaur,https://img.pokemondb.net/artwork/ivysaur.jpg,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs. Exposure to sun­ light adds to its strength. Sunlight also makes the bud on its back grow larger. The bulb on its back grows by drawing energy. It gives off an aroma when it is ready to bloom.","Grass, Poison",1.0,13.0,Seed Pokémon,60,62,63,80,80,60
Venusaur,https://pokemondb.net/pokedex/venusaur,https://img.pokemondb.net/artwork/venusaur.jpg,The flower on its back catches the sun's rays. The sunlight is then absorbed and used for energy. The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,"Grass, Poison",2.0,100.0,Seed Pokémon,80,82,83,100,100,80
Charmander,https://pokemondb.net/pokedex/charmander,https://img.pokemondb.net/artwork/charmander.jpg,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail. The flame at the tip of its tail makes a sound as it burns. You can only hear it in quiet places.",Fire,0.6000000000000001,8.5,Lizard Pokémon,39,52,43,60,50,65
Charmeleon,https://pokemondb.net/pokedex/charmeleon,https://img.pokemondb.net/artwork/charmeleon.jpg,"Tough fights could excite this POKéMON. When excited, it may blow out bluish- white flames. When it swings its burning tail, it elevates the temperature to unbearably high levels. It is very hot­ headed by nature, so it constantly seeks opponents. It calms down only when it wins.",Fire,1.1,19.0,Flame Pokémon,58,64,58,80,65,80
Charizard,https://pokemondb.net/pokedex/charizard,https://img.pokemondb.net/artwork/charizard.jpg,"Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally. When expelling a blast of super hot fire, the red flame at the tip of its tail burns more intensely.","Fire, Flying",1.7000000000000002,90.5,Flame Pokémon,78,84,78,109,85,100
Squirtle,https://pokemondb.net/pokedex/squirtle,https://img.pokemondb.net/artwork/squirtle.jpg,"Shoots water at prey while in the water. Withdraws into its shell when in danger. After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",Water,0.5,9.0,Tiny Turtle Pokémon,44,48,65,50,64,43
Wartortle,https://pokemondb.net/pokedex/wartortle,https://img.pokemondb.net/artwork/wartortle.jpg,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance. When tapped, this POKéMON will pull in its head, but its tail will still stick out a little bit.",Water,1.0,22.5,Turtle Pokémon,59,63,80,65,80,58
Blastoise,https://pokemondb.net/pokedex/blastoise,https://img.pokemondb.net/artwork/blastoise.jpg,"A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles. Once it takes aim at its enemy, it blasts out water with even more force than a fire hose.",Water,1.6,85.5,Shellfish Pokémon,79,83,100,85,105,78
Caterpie,https://pokemondb.net/pokedex/caterpie,https://img.pokemondb.net/artwork/caterpie.jpg,"If you touch the feeler on top of its head, it will release a horrible stink to protect itself. Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls. For protection, it releases a horri­ ble stench from the antenna on its head to drive away enemies.",Bug,0.30000000000000004,2.9000000000000004,Worm Pokémon,45,30,35,20,20,45
